"","Label","Plate.x","Repeat.x","Type.x","Time.x","Absorbance_all","Plate.y","Repeat.y","Well","Type.y","Time.y","A"
"137","N41",2,1,"M","00:01:15.56",0.00800000000000001,2,1,"E07","M","00:01:16.99",0.916
"138","N41",2,1,"M","00:01:15.56",0.00800000000000001,2,1,"E08","M","00:01:17.87",1.037
"139","N41",2,1,"M","00:01:14.67",0.00600000000000001,2,1,"E09","M","00:01:18.76",0.982
"140","N41",2,1,"M","00:01:14.67",0.00600000000000001,2,1,"E07","M","00:01:16.99",0.916
"141","N41",2,1,"M","00:01:14.67",0.00600000000000001,2,1,"E08","M","00:01:17.87",1.037
"142","N41",2,1,"M","00:01:13.78",0.00700000000000001,2,1,"E09","M","00:01:18.76",0.982
"143","N41",2,1,"M","00:01:13.78",0.00700000000000001,2,1,"E07","M","00:01:16.99",0.916
"144","N41",2,1,"M","00:01:13.78",0.00700000000000001,2,1,"E08","M","00:01:17.87",1.037
"145","N42",2,1,"M","00:00:19.56",0.036,2,1,"A03","M","00:00:20.99",1.17
"146","N42",2,1,"M","00:00:19.56",0.036,2,1,"A01","M","00:00:19.20",1.177
"147","N42",2,1,"M","00:00:19.56",0.036,2,1,"A02","M","00:00:20.10",1.199
"148","N42",2,1,"M","00:00:18.66",0.04,2,1,"A03","M","00:00:20.99",1.17
"149","N42",2,1,"M","00:00:18.66",0.04,2,1,"A01","M","00:00:19.20",1.177
"150","N42",2,1,"M","00:00:18.66",0.04,2,1,"A02","M","00:00:20.10",1.199
"151","N42",2,1,"M","00:00:20.45",0.037,2,1,"A03","M","00:00:20.99",1.17
"152","N42",2,1,"M","00:00:20.45",0.037,2,1,"A01","M","00:00:19.20",1.177
"153","N42",2,1,"M","00:00:20.45",0.037,2,1,"A02","M","00:00:20.10",1.199
"154","N43",2,1,"M","00:00:33.56",0.019,2,1,"B05","M","00:00:35.88",0.873
"155","N43",2,1,"M","00:00:33.56",0.019,2,1,"B04","M","00:00:34.99",0.87
"156","N43",2,1,"M","00:00:33.56",0.019,2,1,"B06","M","00:00:36.76",0.879
"157","N43",2,1,"M","00:00:32.67",0.02,2,1,"B05","M","00:00:35.88",0.873
"158","N43",2,1,"M","00:00:32.67",0.02,2,1,"B04","M","00:00:34.99",0.87
"159","N43",2,1,"M","00:00:32.67",0.02,2,1,"B06","M","00:00:36.76",0.879
"160","N43",2,1,"M","00:00:31.79",0.02,2,1,"B05","M","00:00:35.88",0.873
"161","N43",2,1,"M","00:00:31.79",0.02,2,1,"B04","M","00:00:34.99",0.87
"162","N43",2,1,"M","00:00:31.79",0.02,2,1,"B06","M","00:00:36.76",0.879
"163","N44",1,1,"M","00:01:16.09",0.013,1,1,"E10","M","00:01:19.63",1.112
"164","N44",1,1,"M","00:01:16.09",0.013,1,1,"E11","M","00:01:20.52",1.11
"165","N44",1,1,"M","00:01:16.09",0.013,1,1,"E09","M","00:01:18.74",1.06
"166","N44",1,1,"M","00:01:16.98",0.011,1,1,"E10","M","00:01:19.63",1.112
"167","N44",1,1,"M","00:01:16.98",0.011,1,1,"E11","M","00:01:20.52",1.11
"168","N44",1,1,"M","00:01:16.98",0.011,1,1,"E09","M","00:01:18.74",1.06
"169","N44",1,1,"M","00:01:17.87",0.013,1,1,"E10","M","00:01:19.63",1.112
"170","N44",1,1,"M","00:01:17.87",0.013,1,1,"E11","M","00:01:20.52",1.11
"171","N44",1,1,"M","00:01:17.87",0.013,1,1,"E09","M","00:01:18.74",1.06
"172","N45",1,1,"M","00:01:13.42",0.013,1,1,"E06","M","00:01:16.07",0.92
"173","N45",1,1,"M","00:01:13.42",0.013,1,1,"E07","M","00:01:16.96",0.984
"174","N45",1,1,"M","00:01:13.42",0.013,1,1,"E08","M","00:01:17.85",0.943
"175","N45",1,1,"M","00:01:14.31",0.017,1,1,"E06","M","00:01:16.07",0.92
"176","N45",1,1,"M","00:01:14.31",0.017,1,1,"E07","M","00:01:16.96",0.984
"177","N45",1,1,"M","00:01:14.31",0.017,1,1,"E08","M","00:01:17.85",0.943
"178","N45",1,1,"M","00:01:15.20",0.016,1,1,"E06","M","00:01:16.07",0.92
"179","N45",1,1,"M","00:01:15.20",0.016,1,1,"E07","M","00:01:16.96",0.984
"180","N45",1,1,"M","00:01:15.20",0.016,1,1,"E08","M","00:01:17.85",0.943
"181","N46",1,1,"M","00:01:30.09",0.00600000000000001,1,1,"F11","M","00:01:33.63",0.989
"182","N46",1,1,"M","00:01:30.09",0.00600000000000001,1,1,"F09","M","00:01:31.85",1.013
"183","N46",1,1,"M","00:01:30.09",0.00600000000000001,1,1,"F10","M","00:01:32.74",1.069
"184","N46",1,1,"M","00:01:29.20",0.016,1,1,"F11","M","00:01:33.63",0.989
"185","N46",1,1,"M","00:01:29.20",0.016,1,1,"F09","M","00:01:31.85",1.013
"186","N46",1,1,"M","00:01:29.20",0.016,1,1,"F10","M","00:01:32.74",1.069
"187","N46",1,1,"M","00:01:30.98",0.00999999999999998,1,1,"F11","M","00:01:33.63",0.989
"188","N46",1,1,"M","00:01:30.98",0.00999999999999998,1,1,"F09","M","00:01:31.85",1.013
"189","N46",1,1,"M","00:01:30.98",0.00999999999999998,1,1,"F10","M","00:01:32.74",1.069
"190","N47",2,1,"M","00:01:30.45",0.029,2,1,"F10","M","00:01:32.76",0.999
"191","N47",2,1,"M","00:01:30.45",0.029,2,1,"F11","M","00:01:33.65",1.052
"192","N47",2,1,"M","00:01:30.45",0.029,2,1,"F12","M","00:01:34.54",1.053
"193","N47",2,1,"M","00:01:31.34",0.031,2,1,"F10","M","00:01:32.76",0.999
"194","N47",2,1,"M","00:01:31.34",0.031,2,1,"F11","M","00:01:33.65",1.052
"195","N47",2,1,"M","00:01:31.34",0.031,2,1,"F12","M","00:01:34.54",1.053
"196","N47",2,1,"M","00:01:29.56",0.022,2,1,"F10","M","00:01:32.76",0.999
"197","N47",2,1,"M","00:01:29.56",0.022,2,1,"F11","M","00:01:33.65",1.052
"198","N47",2,1,"M","00:01:29.56",0.022,2,1,"F12","M","00:01:34.54",1.053
"199","N48",1,1,"M","00:00:27.37",0.074,3,1,"A07","M","00:00:24.34",0.925
"200","N48",1,1,"M","00:00:27.37",0.074,3,1,"A09","M","00:00:26.12",0.789
"201","N48",1,1,"M","00:00:27.37",0.074,3,1,"A08","M","00:00:25.23",0.882
"202","N48",1,1,"M","00:00:28.26",0.086,3,1,"A07","M","00:00:24.34",0.925
"203","N48",1,1,"M","00:00:28.26",0.086,3,1,"A09","M","00:00:26.12",0.789
"204","N48",1,1,"M","00:00:28.26",0.086,3,1,"A08","M","00:00:25.23",0.882
"205","N48",1,1,"M","00:00:29.15",0.086,3,1,"A07","M","00:00:24.34",0.925
"206","N48",1,1,"M","00:00:29.15",0.086,3,1,"A09","M","00:00:26.12",0.789
"207","N48",1,1,"M","00:00:29.15",0.086,3,1,"A08","M","00:00:25.23",0.882
"208","N49",2,1,"M","00:00:48.45",0.02,2,1,"C09","M","00:00:52.54",0.819
"209","N49",2,1,"M","00:00:48.45",0.02,2,1,"C07","M","00:00:50.76",0.779
"210","N49",2,1,"M","00:00:48.45",0.02,2,1,"C08","M","00:00:51.65",0.822
"211","N49",2,1,"M","00:00:47.56",0.022,2,1,"C09","M","00:00:52.54",0.819
"212","N49",2,1,"M","00:00:47.56",0.022,2,1,"C07","M","00:00:50.76",0.779
"213","N49",2,1,"M","00:00:47.56",0.022,2,1,"C08","M","00:00:51.65",0.822
"214","N49",2,1,"M","00:00:49.34",0.022,2,1,"C09","M","00:00:52.54",0.819
"215","N49",2,1,"M","00:00:49.34",0.022,2,1,"C07","M","00:00:50.76",0.779
"216","N49",2,1,"M","00:00:49.34",0.022,2,1,"C08","M","00:00:51.65",0.822
"217","N50",1,1,"M","00:01:06.71",0.099,3,1,"D12","M","00:01:08.12",1.03
"218","N50",1,1,"M","00:01:06.71",0.099,3,1,"D10","M","00:01:06.34",0.878
"219","N50",1,1,"M","00:01:06.71",0.099,3,1,"D11","M","00:01:07.23",1
"220","N50",1,1,"M","00:01:07.60",0.097,3,1,"D12","M","00:01:08.12",1.03
"221","N50",1,1,"M","00:01:07.60",0.097,3,1,"D10","M","00:01:06.34",0.878
"222","N50",1,1,"M","00:01:07.60",0.097,3,1,"D11","M","00:01:07.23",1
"223","N50",1,1,"M","00:01:08.49",0.097,3,1,"D12","M","00:01:08.12",1.03
"224","N50",1,1,"M","00:01:08.49",0.097,3,1,"D10","M","00:01:06.34",0.878
"225","N50",1,1,"M","00:01:08.49",0.097,3,1,"D11","M","00:01:07.23",1
"226","N51",1,1,"M","00:00:33.37",0.063,3,1,"B06","M","00:00:36.56",0.948
"227","N51",1,1,"M","00:00:33.37",0.063,3,1,"B05","M","00:00:35.67",0.879
"228","N51",1,1,"M","00:00:33.37",0.063,3,1,"A12","M","00:00:28.78",0.882
"229","N51",1,1,"M","00:00:33.37",0.063,3,1,"A11","M","00:00:27.90",0.966
"230","N51",1,1,"M","00:00:33.37",0.063,3,1,"B04","M","00:00:34.78",0.834
"231","N51",1,1,"M","00:00:33.37",0.063,3,1,"A10","M","00:00:27.01",0.926
"232","N51",1,1,"M","00:00:34.26",0.062,3,1,"B06","M","00:00:36.56",0.948
"233","N51",1,1,"M","00:00:34.26",0.062,3,1,"B05","M","00:00:35.67",0.879
"234","N51",1,1,"M","00:00:34.26",0.062,3,1,"A12","M","00:00:28.78",0.882
"235","N51",1,1,"M","00:00:34.26",0.062,3,1,"A11","M","00:00:27.90",0.966
"236","N51",1,1,"M","00:00:34.26",0.062,3,1,"B04","M","00:00:34.78",0.834
"237","N51",1,1,"M","00:00:34.26",0.062,3,1,"A10","M","00:00:27.01",0.926
"238","N51",1,1,"M","00:00:32.49",0.073,3,1,"B06","M","00:00:36.56",0.948
"239","N51",1,1,"M","00:00:32.49",0.073,3,1,"B05","M","00:00:35.67",0.879
"240","N51",1,1,"M","00:00:32.49",0.073,3,1,"A12","M","00:00:28.78",0.882
"241","N51",1,1,"M","00:00:32.49",0.073,3,1,"A11","M","00:00:27.90",0.966
"242","N51",1,1,"M","00:00:32.49",0.073,3,1,"B04","M","00:00:34.78",0.834
"243","N51",1,1,"M","00:00:32.49",0.073,3,1,"A10","M","00:00:27.01",0.926
"244","N52",1,1,"M","00:00:58.71",0.098,3,1,"C12","M","00:00:55.01",1.048
"245","N52",1,1,"M","00:00:58.71",0.098,3,1,"C10","M","00:00:53.23",0.895
"246","N52",1,1,"M","00:00:58.71",0.098,3,1,"C11","M","00:00:54.12",1.012
"247","N52",1,1,"M","00:00:59.60",0.113,3,1,"C12","M","00:00:55.01",1.048
"248","N52",1,1,"M","00:00:59.60",0.113,3,1,"C10","M","00:00:53.23",0.895
"249","N52",1,1,"M","00:00:59.60",0.113,3,1,"C11","M","00:00:54.12",1.012
"250","N52",1,1,"M","00:01:00.49",0.109,3,1,"C12","M","00:00:55.01",1.048
"251","N52",1,1,"M","00:01:00.49",0.109,3,1,"C10","M","00:00:53.23",0.895
"252","N52",1,1,"M","00:01:00.49",0.109,3,1,"C11","M","00:00:54.12",1.012
"253","N53",1,1,"M","00:00:50.04",0.129,3,1,"C03","M","00:00:47.01",1.133
"254","N53",1,1,"M","00:00:50.04",0.129,3,1,"C02","M","00:00:46.12",1.015
"255","N53",1,1,"M","00:00:50.04",0.129,3,1,"C01","M","00:00:45.23",1.018
"256","N53",1,1,"M","00:00:48.26",0.129,3,1,"C03","M","00:00:47.01",1.133
"257","N53",1,1,"M","00:00:48.26",0.129,3,1,"C02","M","00:00:46.12",1.015
"258","N53",1,1,"M","00:00:48.26",0.129,3,1,"C01","M","00:00:45.23",1.018
"259","N53",1,1,"M","00:00:49.15",0.141,3,1,"C03","M","00:00:47.01",1.133
"260","N53",1,1,"M","00:00:49.15",0.141,3,1,"C02","M","00:00:46.12",1.015
"261","N53",1,1,"M","00:00:49.15",0.141,3,1,"C01","M","00:00:45.23",1.018
"262","N54",1,1,"M","00:00:36.93",0.102,3,1,"B03","M","00:00:33.90",1.145
"263","N54",1,1,"M","00:00:36.93",0.102,3,1,"B02","M","00:00:33.01",0.973
"264","N54",1,1,"M","00:00:36.93",0.102,3,1,"B01","M","00:00:32.12",1.104
"265","N54",1,1,"M","00:00:35.15",0.097,3,1,"B03","M","00:00:33.90",1.145
"266","N54",1,1,"M","00:00:35.15",0.097,3,1,"B02","M","00:00:33.01",0.973
"267","N54",1,1,"M","00:00:35.15",0.097,3,1,"B01","M","00:00:32.12",1.104
"268","N54",1,1,"M","00:00:36.04",0.107,3,1,"B03","M","00:00:33.90",1.145
"269","N54",1,1,"M","00:00:36.04",0.107,3,1,"B02","M","00:00:33.01",0.973
