"","Plate","Repeat","Well","Type","Time","A","Label"
"79",1,1,"G07","M","00:01:42.31",0.133,"BCKGRD"
"80",1,1,"G08","M","00:01:43.20",0.097,"BCKGRD"
"81",1,1,"G09","M","00:01:44.09",0.203,"BCKGRD"
"82",1,2,"A01","M","00:04:53.30",0.075,"0"
"83",1,2,"A02","M","00:04:54.20",0.076,"8"
"84",1,2,"A03","M","00:04:55.09",0.113,"16"
"85",1,2,"A04","M","00:04:55.98",0.176,"24"
"86",1,2,"A05","M","00:04:56.86",0.271,"32"
"87",1,2,"A06","M","00:04:57.75",0.381,"40"
"88",1,2,"A07","M","00:04:58.64",0.152,"R46"
"89",1,2,"A08","M","00:04:59.53",0.152,"R46"
"90",1,2,"A09","M","00:05:00.42",0.147,"R46"
"91",1,2,"A10","M","00:05:01.31",0.165,"M89"
"92",1,2,"A11","M","00:05:02.20",0.17,"M89"
"93",1,2,"A12","M","00:05:03.09",0.166,"M89"
"94",1,2,"B01","M","00:05:06.42",0.165,"M41"
"95",1,2,"B02","M","00:05:07.31",0.179,"M41"
"96",1,2,"B03","M","00:05:08.20",0.168,"M41"
"97",1,2,"B04","M","00:05:09.09",0.151,"D55"
"98",1,2,"B05","M","00:05:09.98",0.165,"D55"
"99",1,2,"B06","M","00:05:10.86",0.151,"D55"
"100",1,2,"B07","M","00:05:11.75",0.158,"D56"
"101",1,2,"B08","M","00:05:12.64",0.191,"D56"
"102",1,2,"B09","M","00:05:13.53",0.098,"D56"
"103",1,2,"B10","M","00:05:14.42",0.225,"X42"
"104",1,2,"B11","M","00:05:15.31",0.203,"X42"
"105",1,2,"B12","M","00:05:16.20",0.203,"X42"
"106",1,2,"C01","M","00:05:19.53",0.22,"T62"
"107",1,2,"C02","M","00:05:20.42",0.215,"T62"
"108",1,2,"C03","M","00:05:21.31",0.217,"T62"
"109",1,2,"C04","M","00:05:22.20",0.426,"T59"
"110",1,2,"C05","M","00:05:23.09",0.405,"T59"
"111",1,2,"C06","M","00:05:23.98",0.432,"T59"
"112",1,2,"C07","M","00:05:24.87",0.155,"D58"
"113",1,2,"C08","M","00:05:25.75",0.141,"D58"
"114",1,2,"C09","M","00:05:26.64",0.154,"D58"
"115",1,2,"C10","M","00:05:27.53",0.227,"R50"
"116",1,2,"C11","M","00:05:28.42",0.231,"R50"
"117",1,2,"C12","M","00:05:29.31",0.234,"R50"
"118",1,2,"D01","M","00:05:32.64",0.303,"R42"
"119",1,2,"D02","M","00:05:33.53",0.321,"R42"
"120",1,2,"D03","M","00:05:34.42",0.297,"R42"
"121",1,2,"D04","M","00:05:35.31",0.204,"R48"
"122",1,2,"D05","M","00:05:36.20",0.17,"R48"
"123",1,2,"D06","M","00:05:37.09",0.181,"R48"
"124",1,2,"D07","M","00:05:37.97",0.139,"T56"
